Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace,Coleccion,Palabras,Capitulos,Kudos
"Midtown funky what","3pineapples_in_a_trenchcoat","Shields' new ultimate team is sent to Midtown High on an undercover mission to uncover the identity of the elusive Spiderman. And they’ve found their man-- Harry Osborn.They just need to find the evidence or get him to confess. Now if only certain friends of his would stop getting in the way…ORUltimate Spiderman AU where his identity was NOT immediately revealed to the team, and the team is tasked with finding him. Team Ultimate is VERY good at their job guys, I promise.","Ultimate Spider-Man (Cartoon 2012), Spider-Man - All Media Types, No Archive Warnings Apply, Samuel Alexander & Ava Ayala & Luke Cage & Peter Parker & Danny Rand, Harry Osborn & Peter Parker & Gwen Stacy & Mary Jane Watson, Sam Alexander & Peter Parker, Sam Alexander & Ava Ayala, they all have their one on one moments but there are the significant ones, Peter Parker, Sam Alexander, Ava Ayala, Luke Cage, Danny Rand, Mary Jane Watson, Gwen Stacy, Harry Osborn, Nick Fury, Phil Coulson, Flash Thompson, Amadeus Cho","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/44233513","spiderman_fics__1","72,658","15/?","1,552"
"The Avengers vs The Peter Factor","midnightwolf2192","No one could ever guess that The Avengers would fall to something known as The Peter Factor. This story tells of how each and every Avenger became wrapped around Peter Parker's finger without Peter even being aware of it.Also - please go to YouTube and check out the channel PJ’s Reads. This amazing human is turning this story into an audiobook!! Seriously - go give her a listen she is simply amazing!!","Marvel Cinematic Universe, The Avengers (Marvel Movies), Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Avengers Team, Pepper Potts/Tony Stark, Peter Parker, Tony Stark, Pepper Potts, James ""Rhodey"" Rhodes, Happy Hogan, Natasha Romanov (Marvel), Clint Barton, Bruce Banner, Steve Rogers, James ""Bucky"" Barnes, Sam Wilson (Marvel), Thor (Marvel), Loki (Marvel)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/24054550","spiderman_fics__1","104,632","35/?","16,254"
"Peter the Pizza Guy","Irisen","Strange’s second spell does not have anything to do with memory. Maybe Peter should have expected it, as the previous one acted in the same way.Instead of erasing the memories of the ones he loves across the world, the incantation plucked him from his universe, erasing all traces of his existence, and threw him into a new one.Now seventeen, having lost his family and friends, he finds himself in a strange world, alone in one of the most dangerous cities across all dimensions. Or : Peter needs money to survive Gotham and picks up a pizza delivery job. Spider-Man/DCU (Specifically Batman) Crossover 
  Do not repost to monetized websites like webnovel","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Batman - All Media Types, DCU (Comics), Graphic Depictions Of Violence, Jason Todd & Peter Parker, Pamela Isley & Peter Parker, Batfamily Members & Peter Parker, Peter Parker, Jason Todd, Harley Quinn, Batman’s roster of villains, Dick Grayson, Barbara Gordon, Pamela Isley, Jim Gordon, Original civilian characters, Post-Spider-Man: No Way Home (Movie), Dimension Travel, Crossovers & Fandom Fusions","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/37223179","spiderman_fics__1","205,833","39/?","24,469"
"Who Is Peter Parker?","StannisIsTheOneTrueKing","Been floating around my head last few days, a reaction fic to the Homecoming trilogy, set after No Way Home. Ofc major spoilers follow for NWH.","Spider-Man (Tom Holland Movies), The Amazing Spider-Man (Movies - Webb), Spider-Man (Movies - Raimi), The Avengers (Marvel Movies), Venom (Marvel Movies), Creator Chose Not To Use Archive Warnings, Michelle Jones/Peter Parker, Betty Brant/Ned Leeds, Wanda Maximoff/Stephen Strange, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker, Tony Stark, Natasha Romanov (Marvel), Stephen Strange, Steve Rogers, Bruce Banner, Clint Barton, Happy Hogan, Ned Leeds, Michelle Jones","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/35958718","spiderman_fics__1","140,565","72/?","5,087"
"Service Dogs, Support Groups, and Avengers: Oh My!","o0citrusee0o","Peter Parker's life has never been normal. Normal is something he gets further from each year he gets older.Recently his new normal involves a service dog, therapist visits, medication, and a medical alert bracelet.Taking these things into stride, Peter feels he's adapted pretty well.So does May and his therapist, in fact they'd like the teen to branch out his social life: by attending a support group.Not just any support group, Marvel Community Center's Individuals with Service Dogs Support Group.And thus begins Peter's journey meeting some very unique people who may just leave a lasting impression on Peter's life.------------------------------------------------------------------------------------------Service dog AU no one asked for but your getting anyways---‐--------------------------------------------------------------------------------------Irondad Creators Awards 2022 NominationIrondad Creators Awards 2022 Finalist, The One That's a Whole New World","Marvel Cinematic Universe, The Avengers (Marvel Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, May Parker (Spider-Man) & Peter Parker, Peter Parker & Sam Wilson, Clint Barton & Peter Parker, Bruce Banner & Peter Parker, Peter Parker & Steve Rogers, Peter Parker & James ""Rhodey"" Rhodes, James ""Bucky"" Barnes & Peter Parker, Phil Coulson & Peter Parker, Ned Leeds & Peter Parker, Happy Hogan & Peter Parker, Peter Parker & Thor, Loki & Peter Parker, Peter Parker & Avengers Team, James ""Bucky"" Barnes/Steve Rogers, Peter Parker, May Parker (Spider-Man)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/21101462","spiderman_fics__1","119,364","43/?","2,560"
"You Will Be Found","dreameh","Peter never would've expected that his regular patrol would've ended up being as eventful as it was. Heroes from an alternate dimension, accidentally stranded in New York? This was going to be very interesting.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, DCU, Batman - All Media Types, Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Tim Drake/Peter Parker, (but not until the very end lol there’s hints of it earlier tho), Peter Parker & Tony Stark, Batfamily Members & Peter Parker, Ned Leeds & Peter Parker, Tony Stark & Bruce Wayne, Tim Drake & Peter Parker, Cassandra Cain & Peter Parker, Cassandra Cain & Tim Drake & Dick Grayson & Duke Thomas & Jason Todd & Bruce Wayne & Damian Wayne, Peter Parker & Jason Todd, Peter Parker, Tim Drake, Jason Todd","Choose Not To Use Archive Warnings, No Archive Warnings ApplyCreator Chose Not To Use Archive WarningsNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/43115721","spiderman_fics__1","17,249","1/1","2,221"
"Street Cred","LaraSwan90","Different theories before Midtown High comes to the conclusion that Peter is in a gang/the mafia, told through Betty Brant’s life.","Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Peter Parker & Natasha Romanov, Pepper Potts/Tony Stark, Peter Parker, Betty Brant, Tony Stark, Natasha Romanov (Marvel), Avengers Team, Academic Decathlon Team (Spider-Man: Homecoming), BAMF Peter Parker, Rumors, References to Drugs, Italian Tony Stark, Russian Natasha Romanov, Peter Parker Speaks Russian, Tony Stark Acting as Peter Parker's Parental Figure, Russian Mafia","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/35830426","spiderman_fics__1","7,202","2/2","2,975"
"Do Spiders Even Like Coffee?","Ace_Of_Spades7","“I have a large caramel macchiato for, uhh,” the barista, Emily, called, unsure of how to proceed. The name on the cup was written with perfect penmanship, unable to be mistaken. And yet, there was no way. “Spider-Man?”ORPeter uses ""Spider-Man"" as his Starbucks name and things get a bit out of hand","Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, No Archive Warnings Apply, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker, Ned Leeds, Michelle Jones, random baristas, Crack, Crack Treated Seriously, Identity Reveal, Spider-Man Identity Reveal, gratuitous use of em dashes, Lots of time skips, like a lot, Dialogue Heavy, One Shot, not beta read we die like men","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/40534704","spiderman_fics__1","2,143","1/1","1,603"
"anything hurts less","imoticon","Stark hasn’t said a word to Peter since he declined the invitation. Radio silence. Glorious nothing. He knows they’re both in the wrong after how, well, everything went, from the ferry to the test-that-wasn’t-a-test. But that doesn’t mean he was willing to break the quiet. He also knows he needs help—bad. So instead of Iron Man, he finds (falls into, really) something better.Team Red. They’re gonna work on the name.","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Daredevil (TV), Deadpool - All Media Types, Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Matt Murdock & Peter Parker, Peter Parker & Wade Wilson, Matt Murdock & Peter Parker & Wade Wilson, Peter Parker, Matt Murdock, Tony Stark, Frank Castle, Wade Wilson, Jessica Jones, Wilson Fisk, Peter Parker is a Little Shit, Angst, Peter Parker Whump","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/20647184","spiderman_fics__1","55,076","12/12","8,848"
"the jones-watson-parkers","watsonmj (divineauthor)","“You are not married to Michelle Jones,” Johnny says, disbelief coloring every word. “The Michelle Jones? Like the most famous actress of our generation? Ms. Michelle ‘I got a Ph.D. in psychology by twenty-six and randomly got scouted as a model and turned to acting’ Jones? You’re fucking with me.”
   Nobody believes Peter when he says he’s married to Michelle Jones.","Spider-Man (Tom Holland Movies), No Archive Warnings Apply, MJ/Peter Parker, Michelle Jones, Peter Parker, Ned Leeds, Johnny Storm, Reed Richards, Susan Storm, Canon Universe, Canon Era, Not Spider-Man: No Way Home Compliant, Dialogue Heavy, Fluff and Humor, Established Relationship, Social Media, Scientist Peter Parker, Actress Michelle Jones, POV Peter Parker, Loving Marriage","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/36209977","spiderman_fics__1","9,750","4/4","4,381"
